a_val,v_val,x_val,y_val,z_val
1950,6.3,429453,534153,30985
1950,6.3,429894,534594,31447
1950,6.9,455038,559738,66351
1950,6.7,604635,709335,81054
1950,7.1,702236,806936,40192
1950,6.1,1091677,1196377,8078
1950,6.5,1133516,1238216,39458
1950,6.3,1163188,1267888,21490
1950,6.1,1739140,1843840,72589
1950,6.8,3459395,1011455,72738
1950,6.9,3800027,1352087,22419
1950,6.7,3811915,1363975,34310
1950,6.4,3979418,1531478,44464
1950,6.1,4497730,2049790,14901
1950,6.3,4659298,2211358,36395
1950,6.1,5723232,716112,44597
1950,6.3,5737901,730781,66799
1950,7.7,5998860,991740,71697
1950,6.2,6078235,1071115,53227
1950,6.4,6201587,1194467,58915
1950,6.7,6574073,1566953,37065
1950,6.4,7533577,2526457,11100
1950,6.4,8341448,769448,1980
1950,6.4,8371116,799116,15055
1950,6,8998971,1426971,44677
1950,6.9,9053059,1481059,5331
1950,6,9076635,1504635,48388
1950,6.2,9921599,2349599,47406
1950,6,9989486,2417486,31573
1950,6,10403453,264353,71512
1950,6.3,10911897,772797,58082
1950,6.3,11269748,1130648,10792
1950,6.2,11860568,1721468,59069
1950,6.1,12050218,1911118,54643
1950,6.2,12181165,2042065,8908
1950,6.7,12766399,62359,19881
1950,6.4,12883095,179055,50063
1950,6.2,12899135,195095,66059
1950,6,13422877,718837,80917
1950,7.1,13483034,778994,45367
1950,6.9,13483048,779008,45274
1950,6.2,13657008,952968,46461
1950,6.25,13828575,1124535,53535
1950,6.2,13957994,1253954,78939
1950,6,14282991,1578951,57349
1950,6.5,14659654,1955614,54494
1950,6.3,14940675,2236635,29016
1950,6,15460655,197135,28951
1950,6.6,15597425,333905,72317
1950,6.7,15749746,486226,65615
1950,6.3,15760564,497044,70723
1950,6.9,16064735,801215,35027
1950,6.2,16110359,846839,70425
1950,6.3,16299708,1036188,3679
1950,6.4,16797821,1534301,70125
1950,6.2,17167615,1904095,13322
1950,6.2,17168053,1904533,13744
1950,6.3,17285975,2022455,65638
1950,6.8,17296808,2033288,86181
1950,6.1,17579355,2315835,29
1950,6.1,18116750,300050,2851
1950,6.5,18264653,447953,75806
1950,6.4,18390724,574024,27953
1950,6,18486486,669786,36877
1950,6,18939320,1122620,57865
1950,6.3,19068358,1251658,4493
1950,6.7,19093747,1277047,36565
1950,6.1,19300302,1483602,67865
1950,6.2,19392606,1575906,73347
1950,6.4,19520301,1703601,63545
1950,6.5,19646215,1829515,72872
1950,7.1,20472686,108206,67205
1950,8.6,20527774,163294,74120
1950,6.2,20543928,179448,3703
1950,6,20554942,190462,14048
1950,6.2,20587325,222845,47139
1950,6,20627494,263014,166
1950,6.1,20656457,291977,29619
1950,6.4,20740076,375596,27069
1950,6.1,20797134,432654,84307
1950,6,21025787,661307,52542
1950,6,21090161,725681,31483
1950,6,21109220,744740,65902
1950,6.1,21129745,765265,71466
1950,6,21179364,814884,34168
1950,6,21443970,1079490,64136
1950,6.2,21450792,1086312,46383
1950,6.3,21767245,1402765,18129
1950,6.1,21797466,1432986,55655
1950,6.1,22042039,1677559,55699
1950,6.3,22674105,2309625,73972
1950,6.1,22735286,2370806,45810
1950,6,22982587,74107,24934
1950,6.2,23022461,113981,62892
1950,6.2,23101552,193072,62696
1950,6.2,23244933,336453,64484
1950,6.6,23320695,412215,35175
1950,7.2,23574593,666113,20549
1950,6.2,23788329,879849,1089
1950,6.8,23846012,937532,43462
1950,6,24102963,1194483,27666
1950,6.1,24290979,1382499,41734
1950,6.6,24388339,1479859,84199
1950,6.3,24478140,1569660,49598
1950,6,24793318,1884838,19919
1950,6.2,24885672,1977192,43191
